# Frequency(meV)  DOS(width=0.1~1.0)
  1.0000000475E-03  9.7360588963E-02  1.8973462327E-01  2.7116317809E-01  3.4017588897E-01  3.9979992467E-01  4.5269285685E-01  5.0064724274E-01  5.4495213310E-01  5.8655253702E-01  6.2614161386E-01
  5.3929994273E-02  1.4837627575E-01  2.3640156156E-01  3.1339892850E-01  3.7846179706E-01  4.3489232187E-01  4.8521767850E-01  5.3108704052E-01  5.7368437915E-01  6.1387485814E-01  6.5229002975E-01
  1.0685998850E-01  2.1184972006E-01  2.8889559713E-01  3.5892195583E-01  4.1885411009E-01  4.7146990964E-01  5.1885949350E-01  5.6240833622E-01  6.0313909430E-01  6.4180738927E-01  6.7896636483E-01
  1.5978998273E-01  2.8557962233E-01  3.4664576592E-01  4.0745476486E-01  4.6119947708E-01  5.0943981948E-01  5.5355775917E-01  5.9456969236E-01  6.3328689063E-01  6.7032868938E-01  7.0615460274E-01
  2.1271997695E-01  3.6632801546E-01  4.0885437430E-01  4.5865080193E-01  5.0531873947E-01  5.4869735234E-01  5.8924575668E-01  6.2752615561E-01  6.6409623855E-01  6.9941593784E-01  7.3383779582E-01
  2.6564997118E-01  4.5072475084E-01  4.7455253790E-01  5.1210613054E-01  5.5101065129E-01  5.8912740440E-01  6.2585124313E-01  6.6122959197E-01  6.9553365321E-01  7.2904504434E-01  7.6199813301E-01
  3.1857996540E-01  5.3607400298E-01  5.4266891962E-01  5.6737392607E-01  5.9805624709E-01  6.3060609114E-01  6.6329717953E-01  6.9562905478E-01  7.2756389649E-01  7.5919076681E-01  7.9061701218E-01
  3.7150995963E-01  6.2059488994E-01  6.1210260892E-01  6.2398091534E-01  6.4622368990E-01  6.7300252985E-01  7.0150252215E-01  7.3067118094E-01  7.6015019270E-01  7.8982683643E-01  8.1967511645E-01
  4.2443995385E-01  7.0300427104E-01  6.8179130476E-01  6.8144476096E-01  6.9527341026E-01  7.1618073606E-01  7.4038306366E-01  7.6630061021E-01  7.9325445571E-01  8.2092608880E-01  8.4915249383E-01
  4.7736994808E-01  7.8194487211E-01  7.5076772511E-01  7.3929134730E-01  7.4496333666E-01  7.6000158664E-01  7.7985230923E-01  8.0246042216E-01  8.2683752533E-01  8.5246060006E-01  8.7902863991E-01
  5.3029994231E-01  8.5594868355E-01  8.1819999941E-01  7.9707096359E-01  7.9505401754E-01  8.0432480154E-01  8.1982237258E-01  8.3909258506E-01  8.6085941044E-01  8.8440182702E-01  9.0928258283E-01
